zip,city,state,numbers
77531,Clute,TX,1
70460,Slidell,LA,29
70364,Houma,LA,36
70401,Hammond,LA,202
70435,Covington,LA,97
48642,Midland,MI,4
48602,Saginaw,MI,148
48617,Clare,MI,2
48661,West Branch,MI,1
49707,Alpena,MI,225
49735,Gaylord,MI,36
48801,Alma,MI,1
48841,Henderson,MI,22
